,geoid10,usage_date,hhsize,irr_area_sf,usage_ccf,usage_et_amount
0,060590423301003,2014-08-01,335,120786.0,1091.0,491.716049383
1,060590626392007,2014-07-01,28,4663.0,76.0,558.0
2,060590626392007,2011-03-01,20,3707.0,34.0,
3,060590423301003,2011-07-01,256,92122.0,824.0,0.0
4,060590626392007,2012-06-01,20,3707.0,63.0,692.0
5,060590423301003,2013-12-01,319,116410.0,847.0,242.454545455
6,060590626392007,2012-08-01,20,3707.0,53.0,578.0
7,060590626392007,2012-09-01,20,3707.0,59.0,609.0
8,060590423301003,2013-09-01,315,115506.0,1133.0,540.236842105
9,060590626392007,2012-01-01,20,3707.0,42.0,342.0
10,060590626392007,2011-04-01,20,3707.0,43.0,
11,060590626392007,2016-04-01,32,5246.0,74.0,404.0
12,060590423301003,2016-06-01,307,107800.0,794.0,408.0
13,060590626392007,2011-05-01,20,3707.0,39.0,
14,060590626392007,2014-11-01,32,5536.0,82.0,291.0
15,060590423301003,2011-06-01,247,90342.0,871.0,
16,060590423301003,2014-10-01,335,120786.0,1136.0,542.839506173
17,060590423301003,2016-03-01,343,124699.0,766.0,423.7375
18,060590423301003,2015-02-01,347,125528.0,771.0,241.166666667
19,060590423301003,2014-01-01,323,117315.0,965.0,276.474358974
20,060590423301003,2013-08-01,315,115506.0,1043.0,440.776315789
21,060590423301003,2011-08-01,256,92122.0,829.0,489.274193548
22,060590626392007,2015-07-01,36,6119.0,79.0,543.0
23,060590626392007,2016-05-01,32,5246.0,65.0,358.0
24,060590626392007,2013-04-01,20,3707.0,41.0,417.0
25,060590626392007,2014-06-01,28,4663.0,74.0,593.0
26,060590423301003,2013-06-01,305,110214.0,957.0,458.432432432
27,060590423301003,2016-08-01,299,105932.0,714.0,466.041666667
28,060590626392007,2015-05-01,36,6119.0,82.0,526.0
29,060590626392007,2015-11-01,36,6119.0,93.0,377.0
30,060590626392007,2011-11-01,20,3707.0,46.0,308.0
31,060590626392007,2013-07-01,24,4198.0,53.0,498.0
32,060590626392007,2015-12-01,36,6119.0,81.0,248.0
33,060590626392007,2013-11-01,24,4198.0,55.0,319.0
34,060590626392007,2015-04-01,36,6119.0,79.0,466.0
35,060590626392007,2014-02-01,24,4198.0,47.0,246.0
