,geoid10,usage_date,hhsize,irr_area_sf,usage_ccf,usage_et_amount
0,060590320021002,2010-01-01,136,102568.0,120.0,2.53034479865
1,060590320021002,2010-02-01,136,102568.0,84.0,2.50862068143
2,060590320021002,2010-03-01,136,102568.0,88.0,4.29965535526
3,060590320021002,2010-04-01,136,102568.0,90.0,4.53931030734
4,060590320021002,2010-05-01,136,102568.0,108.0,5.69896533571
5,060590320021002,2010-06-01,136,102568.0,126.0,6.18965522174
6,060590320021002,2010-07-01,136,102568.0,130.0,6.0389654883
7,060590320021002,2010-08-01,136,102568.0,123.0,6.94137936625
8,060590320021002,2010-09-01,136,102568.0,134.0,5.72206877018
9,060590320021002,2010-10-01,136,102568.0,93.0,2.45000004768
10,060590320021002,2010-11-01,136,102568.0,93.0,2.35034473189
11,060590320021002,2010-12-01,136,102568.0,87.0,1.89758618536
12,060590320021002,2011-01-01,272,212086.0,441.0,3.12896562445
13,060590320021002,2011-02-01,272,212086.0,507.0,2.93689660368
14,060590320021002,2011-03-01,272,212086.0,545.0,3.94896556591
15,060590320021002,2011-04-01,272,212086.0,538.0,4.56931051715
16,060590320021002,2011-05-01,272,212086.0,617.0,5.66862076726
17,060590320021002,2011-06-01,272,212086.0,825.0,6.27965537433
18,060590320021002,2011-07-01,272,212086.0,815.0,3.43716673056
19,060590320021002,2011-08-01,279,213934.0,788.0,6.12459000994
20,060590320021002,2011-09-01,286,218109.0,917.0,6.24000000954
21,060590320021002,2011-10-01,286,218109.0,725.0,4.19354831788
22,060590320021002,2011-11-01,286,218109.0,675.0,3.23241927547
23,060590320021002,2011-12-01,286,218109.0,554.0,2.8832258063
24,060590320021002,2012-01-01,286,218109.0,589.0,2.92306446645
25,060590320021002,2012-02-01,286,218109.0,619.0,4.11096775916
26,060590320021002,2012-03-01,286,218109.0,495.0,4.43806454443
27,060590320021002,2012-04-01,286,218109.0,534.0,5.48645159506
28,060590320021002,2012-05-01,292,222469.0,814.0,7.38412694326
29,060590320021002,2012-06-01,292,222469.0,832.0,6.82793659634
30,060590320021002,2012-07-01,296,226452.0,865.0,6.82640618086
31,060590320021002,2012-08-01,296,226452.0,1041.0,6.57656256855
32,060590320021002,2012-09-01,296,226452.0,938.0,5.71796885133
33,060590320021002,2012-10-01,296,226452.0,869.0,4.44390622526
34,060590320021002,2012-11-01,296,226452.0,678.0,2.61343754455
35,060590320021002,2012-12-01,296,226452.0,427.0,1.61500002071
36,060590320021002,2013-01-01,296,226452.0,569.0,2.86843753979
37,060590320021002,2013-02-01,296,226452.0,501.0,2.74718750268
38,060590320021002,2013-03-01,296,226452.0,624.0,4.05421881005
39,060590320021002,2013-04-01,296,226452.0,688.0,5.08843763918
40,060590320021002,2013-05-01,296,226452.0,910.0,6.38484372944
41,060590320021002,2013-06-01,296,226452.0,810.0,5.75781246275
42,060590320021002,2013-07-01,296,226452.0,1049.0,6.80953140557
43,060590320021002,2013-08-01,296,226452.0,915.0,6.14859367162
44,060590320021002,2013-09-01,296,226452.0,859.0,5.48203133792
45,060590320021002,2013-10-01,296,226452.0,873.0,4.2682813108
46,060590320021002,2013-11-01,296,226452.0,618.0,2.66937507689
47,060590320021002,2013-12-01,296,226452.0,606.0,2.47015627846
48,060590320021002,2014-01-01,296,226452.0,737.0,3.28046877682
49,060590320021002,2014-02-01,296,226452.0,573.0,2.72890627012
50,060590320021002,2014-03-01,296,226452.0,521.0,3.79843753949
51,060590320021002,2014-04-01,296,226452.0,667.0,4.94656263292
52,060590320021002,2014-05-01,296,226452.0,926.0,7.10390619934
53,060590320021002,2014-06-01,296,226452.0,782.0,6.47281268984
